이름,수량,구성요소
"KEYPAD1",1," 4x4 키패드"
"U1",1," Arduino Uno R3"
"M1, M2",2," 하비 기어 모터"
"D1, D2",2,"빨간색 LED"
"R1, R2",2,"1 kΩ 저항"
